Rk,Mgr,Team ID,Ejections,Age
1,Dusty Baker,HOU,1,72
2,Rocco Baldelli,MIN,3,39
3,David Bell,CIN,5,48
4,Bud Black,COL,1,64
5,Aaron Boone,NYY,6,48
6,Kevin Cash,TBR,0,43
7,Alex Cora,BOS,2,45
8,Craig Counsell,MIL,5,50
9,Terry Francona,CLE,1,62
10,Joe Girardi,PHI,4,56
11,A.J. Hinch,DET,1,47
12,Brandon Hyde,BAL,2,47
13,Gabe Kapler,SFG,0,45
14,Tony La Russa,CHW,3,76
15,Torey Lovullo,ARI,2,55
16,Joe Maddon,LAA,3,67
17,Dave Martinez,WSN,3,56
18,Mike Matheny,KCR,2,50
19,Don Mattingly,MIA,3,60
20,Bob Melvin,OAK,6,59
21,Charlie Montoyo,TOR,1,55
22,Dave Roberts,LAD,3,49
23,Luis Rojas,NYM,5,39
24,David Ross,CHC,4,44
25,Scott Servais,SEA,3,54
26,Derek Shelton,PIT,3,50
27,Mike Shildt,STL,5,52
28,Brian Snitker,ATL,1,65
29,Jayce Tingler,SDP,7,40
30,Chris Woodward,TEX,2,45
