Rk,Team ID,Tm,C,1B,2B,3B,SS,LF,CF,RF,DH
1,ARI,Arizona Diamondbacks,C.Kelly ,C.Walker ,J.Rojas ,E.Escobar ,N.Ahmed ,D.Peralta ,K.Marte ,P.Smith ,S.Beer 
2,ATL,Atlanta Braves,T.d'Arnaud ,F.Freeman ,O.Albies ,A.Riley ,D.Swanson ,M.Ozuna ,G.Heredia ,R.Acuna ,P.Sandoval 
3,BAL,Baltimore Orioles,P.Severino ,R.Mountcastle ,P.Valaika ,M.Franco ,F.Galvis ,A.Hays ,C.Mullins ,A.Santander ,T.Mancini 
4,BOS,Boston Red Sox,C.Vazquez ,B.Dalbec ,C.Arroyo ,R.Devers ,X.Bogaerts ,A.Verdugo ,E.Hernandez ,H.Renfroe ,J.Martinez 
5,CHC,Chicago Cubs,W.Contreras ,A.Rizzo ,D.Bote ,P.Wisdom ,J.Baez ,J.Pederson ,R.Ortega ,J.Heyward ,F.Schwindel 
6,CHW,Chicago White Sox,Y.Grandal ,J.Abreu ,C.Hernandez ,Y.Moncada ,T.Anderson ,A.Vaughn ,L.Robert ,A.Eaton ,Y.Mercedes 
7,CIN,Cincinnati Reds,T.Barnhart ,J.Votto ,J.India ,E.Suarez ,K.Farmer ,J.Winker ,T.Naquin ,N.Castellanos ,D.DeShields 
8,CLE,Cleveland Indians,A.Hedges ,B.Bradley ,C.Hernandez ,J.Ramirez ,A.Rosario ,E.Rosario ,M.Straw ,J.Naylor ,F.Reyes 
9,COL,Colorado Rockies,E.Diaz ,C.Cron ,B.Rodgers ,R.McMahon ,T.Story ,R.Tapia ,G.Hampson ,C.Blackmon ,C.Joe 
10,DET,Detroit Tigers,E.Haase ,J.Schoop ,W.Castro ,J.Candelario ,N.Goodrum ,R.Grossman ,A.Baddoo ,V.Reyes ,M.Cabrera 
11,HOU,Houston Astros,M.Maldonado ,Y.Gurriel ,J.Altuve ,A.Bregman ,C.Correa ,M.Brantley ,M.Straw ,K.Tucker ,Y.Álvarez 
12,KCR,Kansas City Royals,S.Perez ,C.Santana ,W.Merrifield ,H.Dozier ,N.Lopez ,A.Benintendi ,M.Taylor ,J.Soler ,R.O'Hearn 
13,LAA,Los Angeles Angels,M.Stassi ,J.Walsh ,D.Fletcher ,J.Mayfield ,J.Iglesias ,J.Upton ,B.Marsh ,T.Ward ,S.Ohtani 
14,LAD,Los Angeles Dodgers,W.Smith ,M.Muncy ,T.Turner ,J.Turner ,C.Seager ,A.Pollock ,C.Bellinger ,M.Betts ,M.Beaty 
15,MIA,Miami Marlins,J.Alfaro ,J.Aguilar ,J.Chisholm ,B.Anderson ,M.Rojas ,C.Dickerson ,S.Marte ,A.Duvall ,N.Fortes 
16,MIL,Milwaukee Brewers,O.Narvaez ,D.Vogelbach ,K.Wong ,L.Urias ,W.Adames ,C.Yelich ,J.Bradley ,A.Garcia ,P.Reyes 
17,MIN,Minnesota Twins,R.Jeffers ,M.Sano ,J.Polanco ,J.Donaldson ,A.Simmons ,T.Larnach ,B.Buxton ,M.Kepler ,N.Cruz 
18,NYM,New York Mets,J.McCann ,P.Alonso ,J.McNeil ,J.Villar ,F.Lindor ,D.Smith ,B.Nimmo ,M.Conforto ,J.Davis 
19,NYY,New York Yankees,G.Sanchez ,D.LeMahieu ,R.Odor ,G.Urshela ,G.Torres ,J.Gallo ,B.Gardner ,A.Judge ,G.Stanton 
20,OAK,Oakland Athletics,S.Murphy ,M.Olson ,T.Kemp ,M.Chapman ,E.Andrus ,M.Canha ,R.Laureano ,S.Brown ,M.Moreland 
21,PHI,Philadelphia Phillies,J.Realmuto ,R.Hoskins ,J.Segura ,A.Bohm ,D.Gregorius ,A.McCutchen ,O.Herrera ,B.Harper ,B.Miller 
22,PIT,Pittsburgh Pirates,J.Stallings ,C.Moran ,A.Frazier ,K.Hayes ,K.Newman ,B.Gamel ,B.Reynolds ,G.Polanco ,T.Frazier 
23,SDP,San Diego Padres,V.Caratini ,E.Hosmer ,J.Cronenworth ,M.Machado ,F.Tatís ,T.Pham ,T.Grisham ,W.Myers ,A.Adams 
24,SEA,Seattle Mariners,T.Murphy ,T.France ,D.Moore ,K.Seager ,J.Crawford ,J.Fraley ,J.Kelenic ,M.Haniger ,L.Torrens 
25,SFG,San Francisco Giants,B.Posey ,B.Belt ,D.Solano ,E.Longoria ,B.Crawford ,A.Dickerson ,S.Duggar ,M.Yastrzemski ,W.Flores 
26,STL,St. Louis Cardinals,Y.Molina ,P.Goldschmidt ,T.Edman ,N.Arenado ,P.DeJong ,T.O'Neill ,H.Bader ,D.Carlson ,M.Carpenter 
27,TBR,Tampa Bay Rays,M.Zunino ,Y.Díaz ,B.Lowe ,J.Wendle ,W.Franco ,R.Arozarena ,K.Kiermaier ,M.Margot ,A.Meadows 
28,TEX,Texas Rangers,J.Trevino ,N.Lowe ,N.Solak ,B.Holt ,I.Kiner-Falefa ,W.Calhoun ,A.García ,J.Gallo ,D.Dahl 
29,TOR,Toronto Blue Jays,R.McGuire ,V.Guerrero ,M.Semien ,S.Espinal ,B.Bichette ,L.Gurriel ,R.Grichuk ,T.Hernandez ,G.Springer 
30,WSN,Washington Nationals,Y.Gomes ,J.Bell ,J.Harrison ,S.Castro ,T.Turner ,K.Schwarber ,V.Robles ,J.Soto ,R.Zimmerman 
