Team ID,Tm,#a-tA-S,Est. Payroll,Wins,Losses,League
ARI,Arizona Diamondbacks,8,77691667,52,110,NL
ATL,Atlanta Braves,13,127230000,88,73,NL
BAL,Baltimore Orioles,3,42075000,52,110,AL
BOS,Boston Red Sox,8,156095000,92,70,AL
CHC,Chicago Cubs,9,144413500,71,91,NL
CHW,Chicago White Sox,10,115546333,93,69,AL
CIN,Cincinnati Reds,11,116784881,83,79,NL
CLE,Cleveland Indians,3,50425500,80,82,AL
COL,Colorado Rockies,3,92675000,74,87,NL
DET,Detroit Tigers,7,78590500,77,85,AL
HOU,Houston Astros,10,190400000,95,67,AL
KCR,Kansas City Royals,7,86820000,74,88,AL
LAA,Los Angeles Angels,12,188408595,77,85,AL
LAD,Los Angeles Dodgers,19,248108334,106,56,NL
MIA,Miami Marlins,7,33150000,67,95,NL
MIL,Milwaukee Brewers,13,92017626,95,67,NL
MIN,Minnesota Twins,9,120158333,73,89,AL
NYM,New York Mets,14,184675167,77,85,NL
NYY,New York Yankees,15,209799047,92,70,AL
OAK,Oakland Athletics,10,94555834,86,76,AL
PHI,Philadelphia Phillies,12,185286962,82,80,NL
PIT,Pittsburgh Pirates,5,50255000,61,101,NL
SDP,San Diego Padres,11,121717619,79,83,NL
SEA,Seattle Mariners,5,64605500,90,72,AL
SFG,San Francisco Giants,13,150863778,107,55,NL
STL,St. Louis Cardinals,12,155329667,90,72,NL
TBR,Tampa Bay Rays,9,64037166,100,62,AL
TEX,Texas Rangers,6,67890999,69,102,AL
TOR,Toronto Blue Jays,14,121694071,91,71,AL
WSN,Washington Nationals,17,172370147,65,97,NL
